slug	out	motif	ground	accent	eyebrow	title	thai	opts
hermes-agent-teams	hermes-agent-teams-cover.jpg	hm_kanban	parchment	teal	HERMES IN PRACTICE · II	Agent Teams	Subagents, Kanban และสังคมของ Bots	
hermes-memory	hermes-memory-cover.jpg	hm_bounded	cloud	teal	HERMES IN PRACTICE · III	Memory	ความจำที่มีขอบเขตโดยตั้งใจ	
hermes-security	hermes-security-cover.jpg	hm_isolation	parchment	teal	HERMES IN PRACTICE · IV	Security	Isolation คือแนวป้องกันเดียวที่จริง	
hermes-integrations	hermes-integrations-cover.jpg	hm_gateway	cloud	teal	HERMES IN PRACTICE · V	Integrations	หนึ่ง Gateway เชื่อมทุกช่องทาง	
hermes-skills	hermes-skills-cover.jpg	hm_loop	parchment	teal	HERMES IN PRACTICE · VI	Skills	ทักษะที่เขียนตัวเองได้	
hermes-production	hermes-production-cover.jpg	hm_alwayson	cloud	teal	HERMES IN PRACTICE · VII	Production	ถูก เสถียร และออนไลน์ตลอดเวลา	
hermes-automation	hermes-automation-cover.jpg	hm_railbolt	parchment	teal	HERMES IN PRACTICE · VIII	Automation	งานที่รันเองตามเวลาและตามเหตุการณ์	
hermes-models-cost	hermes-models-cost-cover.jpg	hm_ladder	cloud	teal	HERMES IN PRACTICE · IX	Models & Cost	จาก Nous Portal ถึง GPU ของเราเอง	
hermes-desktop-fleet	hermes-desktop-fleet-cover.jpg	hm_fleet	parchment	teal	HERMES IN PRACTICE · X	Desktop & Fleet	หนึ่ง backend ทุกเครื่องในองค์กร	
ai-transformation-layers	ai-transformation-layers-cover.jpg	at_spine	cloud	coral	AI TRANSFORMATION · I	Six Layers, One Spine	หกชั้น หนึ่งแกน แปดคำถาม	
ai-transformation-prediction	ai-transformation-prediction-cover.jpg	at_chevrons	parchment	coral	AI TRANSFORMATION · II	Cheaper Prediction	การตัดสินใจ ไม่ใช่เครื่องมือ	
ai-transformation-learning-loop	ai-transformation-learning-loop-cover.jpg	at_engine	cloud	coral	AI TRANSFORMATION · III	The Learning Loop	วงจรที่คู่แข่งซื้อไม่ได้	
ai-transformation-maturity	ai-transformation-maturity-cover.jpg	at_stairs	parchment	coral	AI TRANSFORMATION · IV	Five Maturity Levels	พิสูจน์สิทธิ์ก่อนเพิ่มอำนาจ	
ai-transformation-portfolio	ai-transformation-portfolio-cover.jpg	at_portfolio	cloud	coral	AI TRANSFORMATION · V	Decision Portfolio	เลิกเขียน Use-Case List	
ai-transformation-workflow	ai-transformation-workflow-cover.jpg	at_lanes	parchment	coral	AI TRANSFORMATION · VI	Four Lanes	สี่เลนของกระบวนงานคนกับ AI	
ai-transformation-evidence-ladder	ai-transformation-evidence-ladder-cover.jpg	at_wedge	cloud	coral	AI TRANSFORMATION · VII	The Authority Ladder	อำนาจต้องสอดคล้องกับผลกระทบ	
ai-transformation-workforce	ai-transformation-workforce-cover.jpg	at_sorter	parchment	coral	AI TRANSFORMATION · VIII	The Workforce Compact	ออกแบบงานก่อนนับหัวคน	
ai-transformation-factory	ai-transformation-factory-cover.jpg	at_factory	cloud	coral	AI TRANSFORMATION · IX	The AI & Data Factory	หกบริการที่ใช้ซ้ำได้	
ai-transformation-operating-model	ai-transformation-operating-model-cover.jpg	at_federated	parchment	coral	AI TRANSFORMATION · X	Federated by Design	ใครกำหนด สร้าง อนุมัติ ดำเนินงาน	
ai-transformation-ai-core	ai-transformation-ai-core-cover.jpg	at_core	cloud	coral	AI TRANSFORMATION · XI	AI-as-a-Core	อำนาจ × ความขาดไม่ได้	
ai-transformation-contract	ai-transformation-contract-cover.jpg	at_contract	parchment	coral	AI TRANSFORMATION · XII	Assurance Contract	รับประกันเป็นรายคุณสมบัติ	
ai-transformation-five-rails	ai-transformation-five-rails-cover.jpg	at_rails	cloud	coral	AI TRANSFORMATION · XIII	Five Rails	ข้อเสนอไม่ใช่ผลจริง	
ai-transformation-release-gate	ai-transformation-release-gate-cover.jpg	at_gate	parchment	coral	AI TRANSFORMATION · XIV	The Release Gate	ห้าเส้นทาง หนึ่งด่าน	
ai-transformation-incident-loop	ai-transformation-incident-loop-cover.jpg	at_incident	cloud	coral	AI TRANSFORMATION · XV	Evidence Before Change	เก็บหลักฐานก่อนแก้ระบบ	
ai-transformation-obligations	ai-transformation-obligations-cover.jpg	at_ledger	parchment	coral	AI TRANSFORMATION · XVI	One Evidence System	หลักฐานชุดเดียว หลายหน้าที่	
ai-transformation-suppliers-footprint	ai-transformation-suppliers-footprint-cover.jpg	at_supply	cloud	coral	AI TRANSFORMATION · XVII	Cost & Footprint	ต้นทุนต่อผลลัพธ์ที่สำเร็จ	
ai-transformation-first-90-days	ai-transformation-first-90-days-cover.jpg	at_track	parchment	coral	AI TRANSFORMATION · XVIII	The First 90 Days	กำหนดทิศ ออกแบบ สร้าง	
ai-transformation-days-91-180	ai-transformation-days-91-180-cover.jpg	at_scorecard	cloud	coral	AI TRANSFORMATION · XIX	Days 91–180	พิสูจน์ เตรียมขยาย ตัดสิน	
ai-transformation-eight-questions	ai-transformation-eight-questions-cover.jpg	at_spiral	parchment	coral	AI TRANSFORMATION · XX	Learning Velocity	ตอบแปดคำถามด้วยหลักฐาน	
hermes-desktop-install	hermes-desktop-install-cover.jpg	hd_firstrun	cloud	teal	HERMES DESKTOP · I	First Run	ติดตั้งแล้วรันได้ในครั้งแรก	
hermes-desktop-local-models	hermes-desktop-local-models-cover.jpg	hd_cartridge	parchment	teal	HERMES DESKTOP · II	Local Models	โมเดลบนเครื่องของเราเอง	
hermes-desktop-profiles	hermes-desktop-profiles-cover.jpg	hd_drawers	cloud	teal	HERMES DESKTOP · III	Profiles	หนึ่ง agent ต่อหนึ่งบทบาท	
hermes-desktop-council	hermes-desktop-council-cover.jpg	hd_roundtable	parchment	teal	HERMES DESKTOP · IV	The Council	ตรวจก่อนส่ง ทุกคำตอบ	
hermes-desktop-skills-mcp	hermes-desktop-skills-mcp-cover.jpg	hd_patchboard	cloud	teal	HERMES DESKTOP · V	Skills & MCP	ต่อความสามารถให้ agent	
hermes-desktop-automation	hermes-desktop-automation-cover.jpg	hd_metronome	parchment	teal	HERMES DESKTOP · VI	Autopilot	งานที่รันเองและตรวจเอง	
hermes-desktop-safety	hermes-desktop-safety-cover.jpg	hd_lifebuoy	cloud	teal	HERMES DESKTOP · VII	Safety Net	ปลอดภัย ต่อระยะไกล กู้คืนได้	
ai-core-what-is	ai-core-what-is-cover.jpg	ac_quadrant	cloud	green	AI-CORE SYSTEMS · I	What Is AI-Core	ระบบแบบไหนที่ AI เป็นแกนจริง	
ai-core-three-eras	ai-core-three-eras-cover.jpg	ac_strata	parchment	green	AI-CORE SYSTEMS · II	Three Eras	สามยุคซ้อนกันในระบบเดียว	
ai-core-os-model	ai-core-os-model-cover.jpg	ac_seams	cloud	green	AI-CORE SYSTEMS · III	The AI-OS Model	ห้ารอยต่อที่การรับประกันเดิมพัง	
ai-core-context-engineering	ai-core-context-engineering-cover.jpg	ac_manifest	parchment	green	AI-CORE SYSTEMS · IV	Context Control	บริบทคือส่วนหนึ่งของโปรแกรม	
ai-core-fallible-savant	ai-core-fallible-savant-cover.jpg	ac_gauge	cloud	green	AI-CORE SYSTEMS · V	The Fallible Savant	ออกแบบเผื่ออัจฉริยะที่พลาดเป็น	
ai-core-control-loop	ai-core-control-loop-cover.jpg	ac_loop	parchment	green	AI-CORE SYSTEMS · VI	The Control Loop	วงจรพัฒนายุค AI-Core	
ai-core-assurance-contract	ai-core-assurance-contract-cover.jpg	ac_seal	cloud	green	AI-CORE SYSTEMS · VII	The Assurance Contract	สัญญาที่ตรวจได้ ไม่ใช่คำโฆษณา	
ai-core-five-rails	ai-core-five-rails-cover.jpg	ac_rails	parchment	green	AI-CORE SYSTEMS · VIII	Three Classes, Five Rails	วางการ์ดครบทุกรอยต่อ	
ai-core-validation	ai-core-validation-cover.jpg	ac_scale	cloud	green	AI-CORE SYSTEMS · IX	Prove It	พิสูจน์ด้วย golden set, ablation และการโจมตี	
ai-core-ship-operate	ai-core-ship-operate-cover.jpg	ac_dial	parchment	green	AI-CORE SYSTEMS · X	Ship & Operate	คันเร่งอิสระ และเช็กลิสต์ก่อนปล่อย	
work-where-you-stand	work-where-you-stand-cover.jpg	wp_stand	navy	gold	WORKING PHILOSOPHIES · I	Where You Stand	เริ่มจากที่เท้าเราอยู่	
work-whose-weather	work-whose-weather-cover.jpg	wp_weather	deep	gold	WORKING PHILOSOPHIES · II	Whose Weather	แยกอากาศออกจากภาระ	
work-one-brick	work-one-brick-cover.jpg	wp_brick	navy	gold	WORKING PHILOSOPHIES · III	One Brick	คิดให้เล็กเมื่องานใหญ่	
work-corridor-voice	work-corridor-voice-cover.jpg	wp_corridor	deep	gold	WORKING PHILOSOPHIES · IV	The Corridor Voice	จัดการผู้บรรยายในหัว	
work-stuck-is-a-place	work-stuck-is-a-place-cover.jpg	wp_plateau	navy	gold	WORKING PHILOSOPHIES · V	Stuck Is a Place	ไม่ใช่ตัวตน	
work-small-fire	work-small-fire-cover.jpg	wp_smallfire	deep	gold	WORKING PHILOSOPHIES · VI	A Small Fire	รักษาขวัญให้ไม่ดับ	
work-the-line	work-the-line-cover.jpg	wp_line	navy	gold	WORKING PHILOSOPHIES · VII	The Line	เข็มทิศที่ตั้งไว้ก่อนพายุ	
work-fair-fight	work-fair-fight-cover.jpg	wp_scale	deep	gold	WORKING PHILOSOPHIES · VIII	A Fair Fight	เมื่อถูกทำไม่ดีในที่ทำงาน	
work-door-and-window	work-door-and-window-cover.jpg	wp_doorwindow	navy	gold	WORKING PHILOSOPHIES · IX	Door and Window	จะอยู่ซ่อม หรือจะไป	
work-carry-home	work-carry-home-cover.jpg	wp_carryhome	deep	gold	WORKING PHILOSOPHIES · X	What You Carry Home	งานไม่ใช่ทั้งชีวิต	
good-life-examined-life	good-life-examined-life-cover.jpg	gl_mirror	navy	amber	GOOD LIFE · I	The Examined Life	ชีวิตที่ไม่ได้ตรวจสอบ ไม่คุ้มที่จะมีชีวิต	
good-life-character	good-life-character-cover.jpg	gl_stamp	deep	amber	GOOD LIFE · II	Character Is Destiny	เราคือสิ่งที่เราทำซ้ำ	
good-life-habit	good-life-habit-cover.jpg	gl_loom	navy	amber	GOOD LIFE · III	The Loom of Habit	เรากำลังทอโชคชะตาของตัวเองทีละเส้น	
good-life-humility	good-life-humility-cover.jpg	gl_hooks	deep	amber	GOOD LIFE · IV	Knowing Not-Knowing	ปัญญาเริ่มตรงที่ยอมรับว่าไม่รู้	
good-life-courage	good-life-courage-cover.jpg	gl_door	navy	amber	GOOD LIFE · V	Fear in the Face	เราทุกข์ในจินตนาการมากกว่าในความจริง	
good-life-attention	good-life-attention-cover.jpg	gl_bowl	deep	amber	GOOD LIFE · VI	Attention Is Devotion	ล้างจาน ก็แค่ล้างจาน	
good-life-obstacle	good-life-obstacle-cover.jpg	gl_boulder	navy	amber	GOOD LIFE · VII	The Obstacle Is the Way	สิ่งที่ขวางทาง คือทาง	
good-life-enough	good-life-enough-cover.jpg	gl_cup	deep	amber	GOOD LIFE · VIII	Contentment	สันโดษคือทรัพย์อันประเสริฐ	
good-life-control	good-life-control-cover.jpg	gl_fence	navy	amber	GOOD LIFE · IX	Up to Us	เส้นแบ่งสิ่งที่อยู่ในมือกับสิ่งที่ไม่อยู่	
good-life-time	good-life-time-cover.jpg	gl_footprints	deep	amber	GOOD LIFE · X	How We Spend Our Days	วันธรรมดาคือชีวิตทั้งชีวิต	
good-life-why	good-life-why-cover.jpg	gl_horizon	navy	amber	GOOD LIFE · XI	A Why to Live For	คนที่มี 'ทำไม' ทนได้แทบทุก 'อย่างไร'	
good-life-craft	good-life-craft-cover.jpg	gl_bucket	deep	amber	GOOD LIFE · XII	Carry Water, Chop Wood	ฝีมือคือการภาวนาที่มีเหงื่อ	
good-life-fail-better	good-life-fail-better-cover.jpg	gl_ladder	navy	amber	GOOD LIFE · XIII	Fail Better	ล้มอีก ล้มให้ดีกว่าเดิม	
good-life-simplify	good-life-simplify-cover.jpg	gl_pebble	deep	amber	GOOD LIFE · XIV	Simplify, Simplify	เมื่อไม่มีอะไรให้ตัดออกอีก	
good-life-rich	good-life-rich-cover.jpg	gl_ricebowl	navy	amber	GOOD LIFE · XV	The Knowledge of Enough	ความรวยที่ซื้อไม่ได้	
good-life-kindness	good-life-kindness-cover.jpg	gl_net	deep	amber	GOOD LIFE · XVI	Kindness Is Invincible	ความเมตตาที่จริงใจไม่มีวันแพ้	
good-life-friendship	good-life-friendship-cover.jpg	gl_twochairs	navy	amber	GOOD LIFE · XVII	Without Friends	มิตรภาพคือความมั่งคั่งที่แท้	
good-life-love	good-life-love-cover.jpg	gl_twocircles	deep	amber	GOOD LIFE · XVIII	Two Solitudes	รักคือกริยา ไม่ใช่อาการ	
good-life-anger	good-life-anger-cover.jpg	gl_glass	navy	amber	GOOD LIFE · XIX	Hatred Never Ends Hatred	ยาแก้โกรธที่ดีที่สุดคือเวลา	
good-life-memento-mori	good-life-memento-mori-cover.jpg	gl_sundial	deep	amber	GOOD LIFE · XX	Die Before You Die	ตายเสียก่อนตาย	
